[INFOLAB] Sistema arrancado. Escuchando resultados en el puerto 5001
[INFOLAB] Conexión entrante desde equipo.
[INFOLAB] Recibí resultado #1. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #2. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #3. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #4. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #5. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #6. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #7. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #8. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #9. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #10. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #11. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #12. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #13. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #14. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #15. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #16. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #17. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #18. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #19. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #20. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #21. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #22. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #23. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #24. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #25. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #26. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #27. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #28. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #29. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #30. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #31. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #32. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #33. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #34. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #35. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #36. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #37. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #38. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #39. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #40. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #41. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #42. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #43. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #44. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #45. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #46. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #47. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #48. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #49. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #50. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #51. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #52. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #53. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #54. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #55. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #56. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #57. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #58. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #59. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #60. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #61. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #62. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #63. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #64. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #65. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #66. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #67. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #68. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #69. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #70. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #71. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #72. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #73. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #74. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #75. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #76. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #77. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #78. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #79. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #80. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #81. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #82. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #83. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #84. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #85. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #86. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #87. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #88. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #89. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #90. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #91. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #92. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #93. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #94. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #95. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #96. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #97. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #98. Guardando en BD para facturación.
[INFOLAB] Recibí resultado #99. Guardando en BD para facturación.
